"augalai","kuras","maistas","mediena","nafta","date"
0.119988027745181,-0.112047841959003,-0.476612633531672,0.198206120421098,-0.101314899183545,2018-01-01
0.248402965042986,-0.0969714455314005,-1.08208477170006,0.25873866740622,-0.189073597571369,2018-02-01
0.426407804343378,0.203889551180332,-0.821194269126906,0.32192905063739,-0.172446718172367,2018-03-01
0.292494682108838,0.157753726118475,-0.601404200283304,0.170850189367693,-0.549401140603979,2018-04-01
0.232834769907768,0.381342607549642,-0.41091141484237,0.0989359897237147,-0.0984781508351611,2018-05-01
-0.00730745971065085,0.453517288547013,-0.458383188752617,-0.0959941401024706,-0.231037820994408,2018-06-01
0.0491552448429888,0.320600348412382,-0.487604251423922,0.1506288219713,-0.253029495615817,2018-07-01
0.250620393030476,0.403146703980375,-0.362042674054501,0.254717765755063,-0.23776767970366,2018-08-01
-0.123815804639533,0.404409895534949,-0.244214052157269,0.28386512866381,-0.374743215685686,2018-09-01
-0.116153255916458,0.544954741371024,0.0928726204274024,0.314844137191689,-0.251421717747702,2018-10-01
-0.132130634068212,0.541865808657474,0.00915823034028986,0.259278102778428,-0.213263630242329,2018-11-01
-0.125807368773235,0.346024152851962,0.046734910852129,0.316931958455166,-0.24987884331198,2018-12-01
