"date","augaliniai","kkuras","maistas","mediena","nafta","paugaliniai","pkkuras","pmaistas","pmediena","pnafta"
2018-01-01,276898,390266,158483,139055,1330140,243673.555093415,433994.463089972,234018,111493.447924844,1464903
2018-02-01,254185,360471,112396,142939,1231970,191044.692330548,395426.393942149,234018,105955.153619622,1464903
2018-03-01,305653,458754,128497,149773,1249441,175320.175379033,365218.852837818,234018,101556.720298886,1464903
2018-04-01,268310,405534,146133,118270,945464,189830.751843378,341559.50043227,234018,98063.5481034829,1464903
2018-05-01,290478,522145,165863,105752,1333575,222844.621706732,323028.864180992,234018,95289.3212147377,1464903
2018-06-01,259762,564547,160464,84933,1189974,261660.200349358,308515.175302649,234018,93086.0703013231,1464903
2018-07-01,311073,437368,157312,107534,1169089,295782.130520957,297147.666815573,234018,91336.2802581382,1464903
2018-08-01,425297,482940,171814,120688,1183504,318708.898705318,288244.330779717,234018,89946.622286553,1464903
2018-09-01,292138,472256,188085,124059,1065583,328309.301535784,281271.000374247,234018,88842.9760030964,1464903
2018-10-01,292159,606114,257977,128389,1170591,326094.219095296,275809.301888643,234018,87966.4760700962,1464903
2018-11-01,278994,592690,236181,117818,1207407,315857.654121227,271531.553866802,234018,87270.3724868511,1464903
2018-12-01,268406,410078,245491,126953,1172036,302173.452622949,268181.107446773,234018,86717.5370782413,1464903
